run_index	condition	diag_score	baseline_size	empirical_p	empirical_p_low	empirical_p_two_sided	z_from_p	neglog10_p	perm_p_derangements_high	perm_p_derangements_low	perm_p_derangements_two_sided	z_perm_calibrated_derangements
0	control	6.0	221	0.6036036036036037	0.7387387387387387	1.0	-0.26268576068373706	0.21924817608583094	0.6011983988016012	0.6876133123866877	1.0	-0.2564502350857181
1	control	2.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
2	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
3	control	4.0	221	0.9774774774774775	0.45495495495495497	0.9099099099099099	-2.00423357987982	0.009893240602109115	0.9773480226519774	0.42996457003543	0.85992914007086	-2.0018212960043655
4	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
5	control	6.0	221	0.6711711711711712	0.7162162162162162	1.0	-0.4431494248121575	0.17316670603836457	0.668959331040669	0.5161274838725162	1.0	-0.4370413809052741
6	control	6.0	221	0.33783783783783783	0.9009009009009009	0.6756756756756757	0.4183712879116543	0.47129171105893863	0.3346826653173347	0.8914611085388915	0.6693653306346694	0.4270192172284291
7	control	9.0	221	0.15765765765765766	0.8963963963963963	0.3153153153153153	1.0041313313244868	0.802284930100363	0.15401484598515403	0.8188311811688188	0.30802969197030805	1.0193650503294884
8	control	9.0	221	0.08558558558558559	0.9459459459459459	0.17117117117117117	1.368450292253209	1.0675993734978098	0.08165091834908166	0.9366260633739366	0.1633018366981633	1.3940522178789343
9	control	6.0	221	0.44594594594594594	0.8153153153153153	0.8918918918918919	0.1359106806464805	0.3507177798530887	0.444000555999444	0.8096091903908096	0.888001111998888	0.14083396282299354
10	control	4.0	221	0.9369369369369369	0.36036036036036034	0.7207207207207207	-1.529558186142137	0.028289639487877088	0.9367280632719367	0.35294564705435294	0.7058912941087059	-1.5278738037087338
11	control	4.0	221	0.9954954954954955	0.23423423423423423	0.46846846846846846	-2.6117120822772177	0.0019607007655279116	0.9954400045599955	0.22583877416122583	0.45167754832245166	-2.607523129729329
12	control	6.0	221	0.545045045045045	0.7297297297297297	1.0	-0.11315217624074865	0.26356760413418856	0.5435444564555435	0.6645833354166646	1.0	-0.10936740321914427
13	control	4.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
14	control	5.0	221	0.8288288288288288	0.36036036036036034	0.7207207207207207	-0.9495472701112365	0.08153515144110217	0.8278801721198279	0.1853108146891853	0.3706216293783706	-0.9458214643635173
15	control	8.0	221	0.08558558558558559	0.972972972972973	0.17117117117117117	1.368450292253209	1.0675993734978098	0.0815889184110816	0.9680430319569681	0.1631778368221632	1.394462994287211
16	control	5.0	221	0.9279279279279279	0.22972972972972974	0.4594594594594595	-1.460531182013231	0.03248575408148525	0.9277650722349278	0.15336084663915336	0.30672169327830673	-1.459346163802694
17	control	4.0	221	0.990990990990991	0.35585585585585583	0.7117117117117117	-2.3652476466815213	0.003930293628432402	0.991002008997991	0.34832065167934834	0.6966413033586967	-2.3657007877853484
18	control	4.0	221	0.9954954954954955	0.15765765765765766	0.3153153153153153	-2.6117120822772177	0.0019607007655279116	0.9954970045029955	0.1496138503861496	0.2992277007722992	-2.6118266378749735
19	control	4.0	221	0.9954954954954955	0.3153153153153153	0.6306306306306306	-2.6117120822772177	0.0019607007655279116	0.9954000045999954	0.3082196917803082	0.6164393835606164	-2.6045317073034395
20	control	5.0	221	0.7387387387387387	0.44594594594594594	0.8918918918918919	-0.6394618524871729	0.13150912640294074	0.737962262037738	0.4351235648764351	0.8702471297528702	-0.6370757922329611
21	control	6.0	221	0.7747747747747747	0.6081081081081081	1.0	-0.754664269473103	0.11082452754308973	0.7737532262467738	0.48494151505848493	0.9698830301169699	-0.7512644034410259
22	control	6.0	221	0.4594594594594595	0.6846846846846847	0.918918918918919	0.1017955990947049	0.33775280268872104	0.4574205425794574	0.6241443758556241	0.9148410851589148	0.1069343208849854
23	control	5.0	221	0.6756756756756757	0.46846846846846846	0.9369369369369369	-0.4556403137378794	0.1702617153949574	0.6740883259116741	0.45676854323145677	0.9135370864629135	-0.4512306129129573
24	control	6.0	221	0.3108108108108108	0.8738738738738738	0.6216216216216216	0.4935533950895455	0.5075038837133833	0.30761769238230763	0.8684901315098685	0.6152353847646153	0.5026144259899358
25	control	8.0	221	0.08558558558558559	0.9684684684684685	0.17117117117117117	1.368450292253209	1.0675993734978098	0.08135391864608135	0.9097590902409097	0.1627078372921627	1.3960221096134988
26	control	6.0	221	0.5315315315315315	0.6801801801801802	1.0	-0.07912030015842841	0.27447096714451324	0.5291384708615291	0.6742543257456742	1.0	-0.0731043774540823
27	control	7.0	221	0.3738738738738739	0.6936936936936937	0.7477477477477478	0.3216105535126583	0.4272748820745647	0.3720856279143721	0.6870843129156871	0.7441712558287442	0.32633454312779503
28	control	3.0	221	0.9954954954954955	0.05855855855855856	0.11711711711711711	-2.6117120822772177	0.0019607007655279116	0.9954690045309955	0.0498979501020499	0.0997959002040998	-2.6097065938891637
29	control	8.0	221	0.22522522522522523	0.9009009009009009	0.45045045045045046	0.754664269473103	0.6473829701146199	0.2225137774862225	0.8278971721028279	0.445027554972445	0.7637310135903296
30	control	11.0	221	0.02702702702702703	0.9819819819819819	0.05405405405405406	1.9264031529639818	1.568201724066995	0.02261297738702261	0.664960335039665	0.04522595477404522	2.002546802188736
31	control	6.0	221	0.5225225225225225	0.7432432432432432	1.0	-0.05648561480015194	0.28189498522372014	0.5207874792125208	0.4881675118324882	0.9763350236649764	-0.05213008451219904
32	control	8.0	221	0.2702702702702703	0.7837837837837838	0.5405405405405406	0.6119957936995944	0.568201724066995	0.2665917334082666	0.7787512212487787	0.5331834668165332	0.6231537870597486
33	control	5.0	221	0.5765765765765766	0.7072072072072072	1.0	-0.1931431668132398	0.23914300480277026	0.575059424940575	0.6969253030746969	1.0	-0.1892700724126262
34	control	6.0	221	0.5405405405405406	0.7387387387387387	1.0	-0.10179559909470504	0.2671717284030138	0.5381314618685381	0.6789163210836789	1.0	-0.09572740316351988
35	control	4.0	221	0.990990990990991	0.2747747747747748	0.5495495495495496	-2.3652476466815213	0.003930293628432402	0.990974009025991	0.26217773782226217	0.5243554756445243	-2.364550173707236
36	control	5.0	221	0.6756756756756757	0.46396396396396394	0.9279279279279279	-0.4556403137378794	0.1702617153949574	0.6743713256286744	0.4565575434424566	0.9131150868849132	-0.45201614891537917
37	control	4.0	221	0.990990990990991	0.5630630630630631	1.0	-2.3652476466815213	0.003930293628432402	0.991043008956991	0.5568284431715568	1.0	-2.367391286945916
38	control	6.0	221	0.3963963963963964	0.8468468468468469	0.7927927927927928	0.26268576068373695	0.40187030230047	0.3936736063263937	0.7692662307337693	0.7873472126527874	0.26975699107794143
39	control	7.0	221	0.38738738738738737	0.7927927927927928	0.7747747747747747	0.28613493575491794	0.41185452320707094	0.3846586153413847	0.7873132126867873	0.7693172306827694	0.29326810527670477
40	control	5.0	221	0.6396396396396397	0.536036036036036	1.0	-0.3574957320533234	0.19406463006758212	0.6377253622746377	0.5298114701885298	1.0	-0.35238536579106644
41	control	5.0	221	0.5180180180180181	0.6936936936936937	1.0	-0.04517983902747526	0.2856551340970269	0.514969485030515	0.6211903788096211	1.0	-0.03753174397404458
42	control	6.0	221	0.49099099099099097	0.8648648648648649	0.9819819819819819	0.022584156380876554	0.30892647651001504	0.48922151077848924	0.8592871407128593	0.9784430215569785	0.02702095362388353
43	control	4.0	221	0.9774774774774775	0.32882882882882886	0.6576576576576577	-2.00423357987982	0.009893240602109115	0.9774330225669774	0.31677768322231675	0.6335553664446335	-2.003403884492045
44	control	6.0	221	0.6216216216216216	0.7612612612612613	1.0	-0.3097425315385302	0.20647388804940212	0.62000437999562	0.49325450674549326	0.9865090134909865	-0.30549229155262086
45	control	4.0	221	0.9414414414414415	0.35135135135135137	0.7027027027027027	-1.5669896232638034	0.026206688339584606	0.9413000586999413	0.2982547017452983	0.5965094034905966	-1.56578105624765
46	control	6.0	221	0.33783783783783783	0.8738738738738738	0.6756756756756757	0.4183712879116543	0.47129171105893863	0.3347156652843347	0.8504651495348504	0.6694313305686694	0.42692860415915157
47	control	4.0	221	0.9819819819819819	0.38288288288288286	0.7657657657657657	-2.096520582427628	0.007896480846033815	0.9821000178999821	0.36187563812436185	0.7237512762487237	-2.0991921673377463
48	control	5.0	221	0.7837837837837838	0.38288288288288286	0.7657657657657657	-0.785036049876892	0.10580372616803892	0.7826842173157826	0.3756956243043757	0.7513912486087514	-0.7812906545993731
49	control	12.0	221	0.018018018018018018	1.0	0.036036036036036036	2.0965205824276283	1.7442929831226763	0.013550986449013551	0.9953350046649954	0.027101972898027103	2.2100459577879024
50	control	6.0	221	0.40540540540540543	0.7792792792792793	0.8108108108108109	0.23938016267175266	0.39211046501131375	0.40275259724740275	0.7737002262997738	0.8055051944948055	0.2462287070506025
51	control	8.0	221	0.24774774774774774	0.8918918918918919	0.4954954954954955	0.6815943390528618	0.6059902849563948	0.24403675596324403	0.7232982767017233	0.48807351192648807	0.6933761717109979
52	control	6.0	221	0.4099099099099099	0.8288288288288288	0.8198198198198198	0.22777672762222836	0.3873115821295451	0.4075785924214076	0.823914176085824	0.8151571848428152	0.23377818673341194
53	control	4.0	221	0.9954954954954955	0.14414414414414414	0.2882882882882883	-2.6117120822772177	0.0019607007655279116	0.9955300044699955	0.13616686383313617	0.27233372766627234	-2.614340426567458
54	control	7.0	221	0.481981981981982	0.6306306306306306	0.963963963963964	0.04517983902747512	0.31696919676542895	0.47931952068047934	0.5343524656475344	0.9586390413609587	0.051861512749139575
55	control	4.0	221	0.9369369369369369	0.3738738738738739	0.7477477477477478	-1.529558186142137	0.028289639487877088	0.9362830637169363	0.3082986917013083	0.6165973834026166	-1.5242996580032806
56	control	6.0	221	0.46396396396396394	0.7972972972972973	0.9279279279279279	0.09045213597816885	0.33351574974546644	0.46167053832946164	0.778003221996778	0.9233410766589233	0.09622600623839371
57	control	4.0	221	0.9864864864864865	0.31981981981981983	0.6396396396396397	-2.2111272410853284	0.005908859610520279	0.9863250136749864	0.31192268807731194	0.6238453761546239	-2.2064862396942204
58	control	6.0	221	0.5855855855855856	0.7747747747747747	1.0	-0.21620388056489545	0.23240962214380184	0.5845044154955845	0.7690652309347691	1.0	-0.21343053070250645
59	control	8.0	221	0.3153153153153153	0.8873873873873874	0.6306306306306306	0.4808394206668124	0.5012549344363818	0.31223868776131225	0.8821051178948821	0.6244773755226245	0.4895146638590416
60	control	4.0	221	0.9954954954954955	0.19369369369369369	0.38738738738738737	-2.6117120822772177	0.0019607007655279116	0.9955360044639955	0.18487181512818487	0.36974363025636975	-2.614799258820921
61	control	4.0	221	0.9954954954954955	0.1981981981981982	0.3963963963963964	-2.6117120822772177	0.0019607007655279116	0.9955000044999955	0.1902138097861902	0.3804276195723804	-2.612054483098681
62	control	8.0	221	0.23873873873873874	0.9054054054054054	0.4774774774774775	0.7103655549160232	0.6220771048498496	0.23597876402123596	0.9005470994529006	0.47195752804247193	0.7192976751696727
63	control	5.0	221	0.6486486486486487	0.5405405405405406	1.0	-0.3816746537655627	0.18799048235538895	0.6468883531116469	0.5252764747235252	1.0	-0.37693313844885534
64	control	5.0	221	0.6441441441441441	0.49099099099099097	0.9819819819819819	-0.36955818561240195	0.19101693698557684	0.6434263565736434	0.4337115662884337	0.8674231325768674	-0.36763248797455655
65	control	6.0	221	0.6936936936936937	0.6711711711711712	1.0	-0.5063476573610789	0.15883225361417555	0.6918813081186919	0.5120824879175121	1.0	-0.5011900392771199
66	control	6.0	221	0.6801801801801802	0.6531531531531531	1.0	-0.4682027026466733	0.16737602715746916	0.6779823220176779	0.5017544982455018	1.0	-0.4620640969749631
67	control	5.0	221	0.6081081081081081	0.5675675675675675	1.0	-0.2743914878600369	0.2160192059556325	0.6062383937616063	0.17234282765717235	0.3446856553143447	-0.2695282414860753
68	control	9.0	221	0.0945945945945946	0.9414414414414415	0.1891891891891892	1.3129814789733736	1.0241336797167193	0.09076090923909076	0.9363790636209364	0.18152181847818152	1.336084001733964
69	control	7.0	221	0.35585585585585583	0.7477477477477478	0.7117117117117117	0.3695581856124021	0.44872588316019724	0.35384364615635383	0.6872143127856872	0.7076872923127077	0.37496393020133456
70	control	6.0	221	0.40540540540540543	0.8198198198198198	0.8108108108108109	0.23938016267175266	0.39211046501131375	0.4026285973714026	0.7965042034957965	0.8052571947428052	0.24654910789469636
71	control	5.0	221	0.9234234234234234	0.18018018018018017	0.36036036036036034	-1.428482065306666	0.03459911339488433	0.9230580769419231	0.09982190017809982	0.19964380035619964	-1.4259462903357045
72	control	6.0	221	0.36036036036036034	0.8108108108108109	0.7207207207207207	0.3574957320533234	0.4432629874586951	0.3577906422093578	0.8052041947958052	0.7155812844187156	0.3643706028191715
73	control	8.0	221	0.26576576576576577	0.8648648648648649	0.5315315315315315	0.625669821594675	0.5755009628084944	0.2619217380782619	0.8603481396518603	0.5238434761565238	0.6374320213098433
74	control	8.0	221	0.3063063063063063	0.8918918918918919	0.6126126126126126	0.5063476573610789	0.5138440617444023	0.30306169693830304	0.7920792079207921	0.6061233938766061	0.5156149110425138
75	control	8.0	221	0.15765765765765766	0.9234234234234234	0.3153153153153153	1.0041313313244868	0.802284930100363	0.15392684607315393	0.9185530814469186	0.30785369214630787	1.0197359812972626
76	control	4.0	221	0.9954954954954955	0.19369369369369369	0.38738738738738737	-2.6117120822772177	0.0019607007655279116	0.9954500045499954	0.1857068142931857	0.3714136285863714	-2.6082746444461904
77	control	4.0	221	0.9504504504504504	0.2972972972972973	0.5945945945945946	-1.649236958506665	0.022070519152945986	0.9503690496309504	0.24394175605824395	0.4878835121164879	-1.6484425005589156
78	control	7.0	221	0.3918918918918919	0.7342342342342343	0.7837837837837838	0.2743914878600369	0.4068337218320201	0.3891926108073892	0.5979374020625979	0.7783852216147784	0.2814239878690264
79	control	4.0	221	0.9954954954954955	0.3153153153153153	0.6306306306306306	-2.6117120822772177	0.0019607007655279116	0.9955280044719955	0.30744769255230747	0.6148953851046149	-2.614187604715024
80	control	6.0	221	0.5135135135135135	0.7837837837837838	1.0	-0.033879835403491765	0.28944812311416607	0.5112844887155112	0.7741292258707742	1.0	-0.02828979147079461
81	control	8.0	221	0.23873873873873874	0.8918918918918919	0.4774774774774775	0.7103655549160232	0.6220771048498496	0.2353177646822353	0.8866361133638866	0.4706355293644706	0.7214453886066325
82	control	5.0	221	0.7252252252252253	0.46396396396396394	0.9279279279279279	-0.5984352524008002	0.13952709841878888	0.7235622764377235	0.45712854287145716	0.9142570857429143	-0.5934568578787172
83	control	4.0	221	0.9954954954954955	0.20270270270270271	0.40540540540540543	-2.6117120822772177	0.0019607007655279116	0.9955030044969955	0.19445680554319444	0.3889136110863889	-2.612282464003886
84	control	4.0	221	0.9954954954954955	0.2747747747747748	0.5495495495495496	-2.6117120822772177	0.0019607007655279116	0.9954920045079955	0.2672867327132673	0.5345734654265346	-2.611447196879601
85	control	9.0	221	0.09009009009009009	0.954954954954955	0.18018018018018017	1.3402004659340858	1.0453229787866576	0.08587491412508587	0.9504830495169505	0.17174982825017174	1.3666028346254993
86	control	4.0	221	0.9954954954954955	0.22072072072072071	0.44144144144144143	-2.6117120822772177	0.0019607007655279116	0.9953990046009954	0.21137578862421139	0.42275157724842277	-2.6044572196610933
87	control	15.0	221	0.009009009009009009	1.0	0.018018018018018018	2.3652476466815218	2.0453229787866576	0.004542995457004543	0.9363900636099364	0.009085990914009086	2.6088015825860293
88	control	3.0	221	nan	nan	nan	nan	nan	nan	nan	nan	nan
89	control	4.0	221	0.9324324324324325	0.30180180180180183	0.6036036036036037	-1.4941549086209052	0.030382628993720864	0.9326940673059327	0.23095076904923095	0.4619015380984619	-1.4961603840613842
90	control	6.0	221	0.6936936936936937	0.6306306306306306	1.0	-0.5063476573610789	0.15883225361417555	0.6923373076626923	0.6241453758546242	1.0	-0.5024864454150499
91	control	6.0	221	0.5540540540540541	0.7027027027027027	1.0	-0.1359106806464805	0.2564478630112407	0.5511424488575511	0.6380643619356381	1.0	-0.12854826853009138
92	control	7.0	221	0.34684684684684686	0.7612612612612613	0.6936936936936937	0.39384741763566583	0.4598622492781568	0.34392565607434394	0.6511443488556511	0.6878513121486879	0.40177270429305567
93	control	6.0	221	0.527027027027027	0.8333333333333334	1.0	-0.06779861544123557	0.278167112704477	0.5256394743605256	0.8276491723508277	1.0	-0.06431293858981815
94	control	4.0	221	0.9324324324324325	0.31981981981981983	0.6396396396396397	-1.4941549086209052	0.030382628993720864	0.9318260681739319	0.26264173735826263	0.5252834747165253	-1.4895299843516714
95	control	5.0	221	0.7207207207207207	0.527027027027027	1.0	-0.584983876018925	0.14223299179471388	0.7192122807877193	0.5203954796045204	1.0	-0.5805030383262101
96	control	10.0	221	0.2072072072072072	0.9684684684684685	0.4144144144144144	0.8161498870226596	0.6835951427690645	0.20412479587520413	0.9634130365869634	0.40824959175040826	0.8269778930071774
97	control	6.0	221	0.43243243243243246	0.8378378378378378	0.8648648648648649	0.1701847241123691	0.3640817414110702	0.4296775703224297	0.8321541678458322	0.8593551406448594	0.17719510477855782
98	control	10.0	221	0.04954954954954955	0.9774774774774775	0.0990990990990991	1.6492369585066662	1.3049602892924135	0.04527195472804527	0.9682000317999682	0.09054390945609055	1.6925355413774
99	control	5.0	221	0.8468468468468469	0.3108108108108108	0.6216216216216216	-1.0230032560702353	0.07219512518695877	0.8464441535558465	0.15407384592615408	0.30814769185230817	-1.0213013376190798
100	control	6.0	221	0.6171171171171171	0.6891891891891891	1.0	-0.2979179785635167	0.20963240729423185	0.6150483849516151	0.684002315997684	1.0	-0.2925014778608895
101	control	5.0	221	0.7837837837837838	0.5	1.0	-0.785036049876892	0.10580372616803892	0.7827712172287827	0.49346550653449345	0.9869310130689869	-0.7815865981760105
